ADS1115 CONFIG: 0x8488
XU4 Microsecond: 12006, ADC Sample: 323
XU4 Microsecond: 19999, ADC Sample: 385
XU4 Microsecond: 28043, ADC Sample: 285
XU4 Microsecond: 36061, ADC Sample: 329
XU4 Microsecond: 44102, ADC Sample: 235
XU4 Microsecond: 52131, ADC Sample: 226
XU4 Microsecond: 60177, ADC Sample: 121
XU4 Microsecond: 68207, ADC Sample: 108
XU4 Microsecond: 76234, ADC Sample: 36
XU4 Microsecond: 84260, ADC Sample: 0
XU4 Microsecond: 92290, ADC Sample: -33
XU4 Microsecond: 100318, ADC Sample: -100
XU4 Microsecond: 108402, ADC Sample: -106
XU4 Microsecond: 116384, ADC Sample: -193
XU4 Microsecond: 124403, ADC Sample: -239
XU4 Microsecond: 132431, ADC Sample: -215
XU4 Microsecond: 140457, ADC Sample: -366
XU4 Microsecond: 148467, ADC Sample: -330
XU4 Microsecond: 156493, ADC Sample: -457
XU4 Microsecond: 164532, ADC Sample: -317
XU4 Microsecond: 172549, ADC Sample: -526
XU4 Microsecond: 180572, ADC Sample: -339
XU4 Microsecond: 188600, ADC Sample: -585
XU4 Microsecond: 196645, ADC Sample: -355
XU4 Microsecond: 204666, ADC Sample: -607
XU4 Microsecond: 212732, ADC Sample: -371
XU4 Microsecond: 220723, ADC Sample: -587
XU4 Microsecond: 228748, ADC Sample: -375
XU4 Microsecond: 236770, ADC Sample: -570
XU4 Microsecond: 244800, ADC Sample: -331
XU4 Microsecond: 252826, ADC Sample: -501
XU4 Microsecond: 260860, ADC Sample: -330
XU4 Microsecond: 268881, ADC Sample: -406
XU4 Microsecond: 276905, ADC Sample: -300
XU4 Microsecond: 284925, ADC Sample: -338
XU4 Microsecond: 292949, ADC Sample: -250
XU4 Microsecond: 301001, ADC Sample: -196
XU4 Microsecond: 309624, ADC Sample: -123
XU4 Microsecond: 317055, ADC Sample: -95
XU4 Microsecond: 325067, ADC Sample: -35
XU4 Microsecond: 333091, ADC Sample: -28
XU4 Microsecond: 341116, ADC Sample: 23
XU4 Microsecond: 349148, ADC Sample: 98
XU4 Microsecond: 357171, ADC Sample: 124
XU4 Microsecond: 365200, ADC Sample: 187
XU4 Microsecond: 373220, ADC Sample: 229
XU4 Microsecond: 381244, ADC Sample: 248
XU4 Microsecond: 389271, ADC Sample: 355
XU4 Microsecond: 397320, ADC Sample: 285
XU4 Microsecond: 405327, ADC Sample: 453
XU4 Microsecond: 413404, ADC Sample: 347
XU4 Microsecond: 421392, ADC Sample: 528
XU4 Microsecond: 429412, ADC Sample: 366
