ADS1115 CONFIG: 0x8488
XU4 Microsecond: 11229, ADC Sample: -397
XU4 Microsecond: 16145, ADC Sample: -656
XU4 Microsecond: 24135, ADC Sample: -402
XU4 Microsecond: 32160, ADC Sample: -605
XU4 Microsecond: 40192, ADC Sample: 402
XU4 Microsecond: 48221, ADC Sample: 560
XU4 Microsecond: 56260, ADC Sample: 434
XU4 Microsecond: 64371, ADC Sample: 523
XU4 Microsecond: 72338, ADC Sample: 465
XU4 Microsecond: 80330, ADC Sample: 540
XU4 Microsecond: 88369, ADC Sample: 463
XU4 Microsecond: 96383, ADC Sample: 455
XU4 Microsecond: 104404, ADC Sample: 487
XU4 Microsecond: 112432, ADC Sample: 454
XU4 Microsecond: 120458, ADC Sample: 492
XU4 Microsecond: 128483, ADC Sample: 471
XU4 Microsecond: 136511, ADC Sample: 519
XU4 Microsecond: 144541, ADC Sample: 429
XU4 Microsecond: 152565, ADC Sample: 546
XU4 Microsecond: 160593, ADC Sample: 402
XU4 Microsecond: 168618, ADC Sample: 590
XU4 Microsecond: 176648, ADC Sample: 389
XU4 Microsecond: 184675, ADC Sample: 564
XU4 Microsecond: 192701, ADC Sample: 391
XU4 Microsecond: 200728, ADC Sample: 573
XU4 Microsecond: 208755, ADC Sample: 400
XU4 Microsecond: 216780, ADC Sample: 581
XU4 Microsecond: 224807, ADC Sample: 381
XU4 Microsecond: 232833, ADC Sample: 575
XU4 Microsecond: 240863, ADC Sample: 410
XU4 Microsecond: 248890, ADC Sample: 552
XU4 Microsecond: 256916, ADC Sample: 407
XU4 Microsecond: 264944, ADC Sample: 565
XU4 Microsecond: 272969, ADC Sample: 421
XU4 Microsecond: 280998, ADC Sample: 558
XU4 Microsecond: 289027, ADC Sample: -367
XU4 Microsecond: 297052, ADC Sample: -541
XU4 Microsecond: 305080, ADC Sample: -464
XU4 Microsecond: 313107, ADC Sample: -535
XU4 Microsecond: 321134, ADC Sample: -480
XU4 Microsecond: 329160, ADC Sample: -541
XU4 Microsecond: 337188, ADC Sample: -541
XU4 Microsecond: 345215, ADC Sample: -406
XU4 Microsecond: 353241, ADC Sample: -567
XU4 Microsecond: 361268, ADC Sample: -424
XU4 Microsecond: 369295, ADC Sample: -596
XU4 Microsecond: 377325, ADC Sample: -420
XU4 Microsecond: 385352, ADC Sample: -609
XU4 Microsecond: 393378, ADC Sample: -385
XU4 Microsecond: 401406, ADC Sample: -625
XU4 Microsecond: 409431, ADC Sample: -376
XU4 Microsecond: 417457, ADC Sample: -626
XU4 Microsecond: 425485, ADC Sample: -382
XU4 Microsecond: 433514, ADC Sample: -622
XU4 Microsecond: 441537, ADC Sample: -348
XU4 Microsecond: 449566, ADC Sample: -626
XU4 Microsecond: 457594, ADC Sample: -410
XU4 Microsecond: 465623, ADC Sample: -582
XU4 Microsecond: 473646, ADC Sample: -476
XU4 Microsecond: 481677, ADC Sample: -587
XU4 Microsecond: 489701, ADC Sample: -401
XU4 Microsecond: 497730, ADC Sample: -568
XU4 Microsecond: 505764, ADC Sample: -466
XU4 Microsecond: 513783, ADC Sample: -564
XU4 Microsecond: 521813, ADC Sample: -465
XU4 Microsecond: 529837, ADC Sample: -570
XU4 Microsecond: 537866, ADC Sample: 255
XU4 Microsecond: 545892, ADC Sample: 501
XU4 Microsecond: 553919, ADC Sample: 501
XU4 Microsecond: 561952, ADC Sample: 458
XU4 Microsecond: 569975, ADC Sample: 529
XU4 Microsecond: 577999, ADC Sample: 474
XU4 Microsecond: 586026, ADC Sample: 548
XU4 Microsecond: 594057, ADC Sample: 393
XU4 Microsecond: 602079, ADC Sample: 565
XU4 Microsecond: 610109, ADC Sample: 377
XU4 Microsecond: 618136, ADC Sample: 570
XU4 Microsecond: 626163, ADC Sample: 327
XU4 Microsecond: 634190, ADC Sample: 580
XU4 Microsecond: 642217, ADC Sample: 413
XU4 Microsecond: 650243, ADC Sample: 580
XU4 Microsecond: 658272, ADC Sample: 372
XU4 Microsecond: 666295, ADC Sample: 578
XU4 Microsecond: 674324, ADC Sample: 374
XU4 Microsecond: 682351, ADC Sample: 558
XU4 Microsecond: 690379, ADC Sample: 395
XU4 Microsecond: 698405, ADC Sample: 564
XU4 Microsecond: 706434, ADC Sample: 446
XU4 Microsecond: 714457, ADC Sample: 519
XU4 Microsecond: 722486, ADC Sample: 447
XU4 Microsecond: 730517, ADC Sample: 496
XU4 Microsecond: 738540, ADC Sample: 449
XU4 Microsecond: 746569, ADC Sample: 501
XU4 Microsecond: 754595, ADC Sample: 455
XU4 Microsecond: 762623, ADC Sample: 462
XU4 Microsecond: 770652, ADC Sample: 474
XU4 Microsecond: 778675, ADC Sample: 469
XU4 Microsecond: 786702, ADC Sample: -87
XU4 Microsecond: 794732, ADC Sample: -467
XU4 Microsecond: 802761, ADC Sample: -545
XU4 Microsecond: 810785, ADC Sample: -433
XU4 Microsecond: 818810, ADC Sample: -612
XU4 Microsecond: 826838, ADC Sample: -398
XU4 Microsecond: 834866, ADC Sample: -619
XU4 Microsecond: 842893, ADC Sample: -264
XU4 Microsecond: 850919, ADC Sample: -610
XU4 Microsecond: 858947, ADC Sample: -443
XU4 Microsecond: 866974, ADC Sample: -616
XU4 Microsecond: 875002, ADC Sample: -426
XU4 Microsecond: 883029, ADC Sample: -631
XU4 Microsecond: 891082, ADC Sample: -375
XU4 Microsecond: 899087, ADC Sample: -634
XU4 Microsecond: 907110, ADC Sample: -369
XU4 Microsecond: 915147, ADC Sample: -622
XU4 Microsecond: 923172, ADC Sample: -416
XU4 Microsecond: 931211, ADC Sample: -573
XU4 Microsecond: 939231, ADC Sample: -468
XU4 Microsecond: 947297, ADC Sample: -522
XU4 Microsecond: 955332, ADC Sample: -456
XU4 Microsecond: 963346, ADC Sample: -571
XU4 Microsecond: 971352, ADC Sample: -489
XU4 Microsecond: 979371, ADC Sample: -505
XU4 Microsecond: 987386, ADC Sample: -517
XU4 Microsecond: 995413, ADC Sample: -537
XU4 Microsecond: 1003440, ADC Sample: -529
XU4 Microsecond: 1011479, ADC Sample: -482
XU4 Microsecond: 1019506, ADC Sample: -568
XU4 Microsecond: 1027532, ADC Sample: -466
XU4 Microsecond: 1035558, ADC Sample: -95
XU4 Microsecond: 1043585, ADC Sample: 428
XU4 Microsecond: 1051612, ADC Sample: 573
XU4 Microsecond: 1059639, ADC Sample: 374
XU4 Microsecond: 1067663, ADC Sample: 578
XU4 Microsecond: 1075694, ADC Sample: 393
XU4 Microsecond: 1083719, ADC Sample: 556
XU4 Microsecond: 1091747, ADC Sample: 446
