ADS1115 CONFIG: 0x8488
XU4 Microsecond: 10837, ADC Sample: 413
XU4 Microsecond: 17029, ADC Sample: 274
XU4 Microsecond: 24853, ADC Sample: 493
XU4 Microsecond: 32744, ADC Sample: 347
XU4 Microsecond: 40607, ADC Sample: 583
XU4 Microsecond: 48452, ADC Sample: 392
XU4 Microsecond: 56302, ADC Sample: 669
XU4 Microsecond: 64166, ADC Sample: 504
XU4 Microsecond: 72031, ADC Sample: 747
XU4 Microsecond: 79885, ADC Sample: 635
XU4 Microsecond: 87751, ADC Sample: 704
XU4 Microsecond: 95605, ADC Sample: 730
XU4 Microsecond: 103460, ADC Sample: 680
XU4 Microsecond: 111326, ADC Sample: 787
XU4 Microsecond: 119183, ADC Sample: 774
XU4 Microsecond: 127034, ADC Sample: 949
XU4 Microsecond: 134906, ADC Sample: 773
XU4 Microsecond: 142753, ADC Sample: 1112
XU4 Microsecond: 150611, ADC Sample: 759
XU4 Microsecond: 158466, ADC Sample: 1200
XU4 Microsecond: 166322, ADC Sample: 801
XU4 Microsecond: 174177, ADC Sample: 1267
XU4 Microsecond: 182031, ADC Sample: 796
XU4 Microsecond: 189887, ADC Sample: 1169
XU4 Microsecond: 197752, ADC Sample: 822
XU4 Microsecond: 205619, ADC Sample: 1062
XU4 Microsecond: 213449, ADC Sample: 828
XU4 Microsecond: 221303, ADC Sample: 938
XU4 Microsecond: 229157, ADC Sample: 818
XU4 Microsecond: 237012, ADC Sample: 764
XU4 Microsecond: 244866, ADC Sample: 753
XU4 Microsecond: 252723, ADC Sample: 664
XU4 Microsecond: 260581, ADC Sample: 743
XU4 Microsecond: 268437, ADC Sample: 451
XU4 Microsecond: 276289, ADC Sample: 717
XU4 Microsecond: 284145, ADC Sample: 472
XU4 Microsecond: 292001, ADC Sample: 629
XU4 Microsecond: 299856, ADC Sample: 381
XU4 Microsecond: 307712, ADC Sample: 558
XU4 Microsecond: 315566, ADC Sample: 370
XU4 Microsecond: 323420, ADC Sample: 491
XU4 Microsecond: 331278, ADC Sample: 319
XU4 Microsecond: 339133, ADC Sample: 374
XU4 Microsecond: 347011, ADC Sample: 247
XU4 Microsecond: 354846, ADC Sample: 314
XU4 Microsecond: 362699, ADC Sample: 226
XU4 Microsecond: 370555, ADC Sample: 44
XU4 Microsecond: 378411, ADC Sample: 175
XU4 Microsecond: 386269, ADC Sample: 235
XU4 Microsecond: 394121, ADC Sample: 72
XU4 Microsecond: 401972, ADC Sample: 172
XU4 Microsecond: 409843, ADC Sample: 33
XU4 Microsecond: 417681, ADC Sample: 36
XU4 Microsecond: 425540, ADC Sample: -7
XU4 Microsecond: 433401, ADC Sample: -68
XU4 Microsecond: 441258, ADC Sample: -73
XU4 Microsecond: 449110, ADC Sample: -90
XU4 Microsecond: 456966, ADC Sample: -163
XU4 Microsecond: 464822, ADC Sample: -54
XU4 Microsecond: 472679, ADC Sample: -199
XU4 Microsecond: 480540, ADC Sample: -382
XU4 Microsecond: 488389, ADC Sample: -282
XU4 Microsecond: 496245, ADC Sample: -287
XU4 Microsecond: 504104, ADC Sample: -366
XU4 Microsecond: 511956, ADC Sample: -329
XU4 Microsecond: 519814, ADC Sample: -437
XU4 Microsecond: 527666, ADC Sample: -442
XU4 Microsecond: 535522, ADC Sample: -463
XU4 Microsecond: 543377, ADC Sample: -558
XU4 Microsecond: 551235, ADC Sample: -473
XU4 Microsecond: 559088, ADC Sample: -676
XU4 Microsecond: 566945, ADC Sample: -423
XU4 Microsecond: 574799, ADC Sample: -769
XU4 Microsecond: 582653, ADC Sample: -487
XU4 Microsecond: 590502, ADC Sample: -850
XU4 Microsecond: 598355, ADC Sample: -532
XU4 Microsecond: 606224, ADC Sample: -911
XU4 Microsecond: 614079, ADC Sample: -786
XU4 Microsecond: 621932, ADC Sample: -969
XU4 Microsecond: 629839, ADC Sample: -763
XU4 Microsecond: 637650, ADC Sample: -949
XU4 Microsecond: 645499, ADC Sample: -924
XU4 Microsecond: 653353, ADC Sample: -961
XU4 Microsecond: 661212, ADC Sample: -1071
XU4 Microsecond: 669064, ADC Sample: -919
XU4 Microsecond: 676922, ADC Sample: -1195
XU4 Microsecond: 684777, ADC Sample: -775
XU4 Microsecond: 692634, ADC Sample: -1163
XU4 Microsecond: 700488, ADC Sample: -650
XU4 Microsecond: 708342, ADC Sample: -1084
XU4 Microsecond: 716196, ADC Sample: -760
XU4 Microsecond: 724054, ADC Sample: -994
XU4 Microsecond: 731908, ADC Sample: -583
XU4 Microsecond: 739764, ADC Sample: -879
XU4 Microsecond: 747620, ADC Sample: -672
XU4 Microsecond: 755477, ADC Sample: -742
XU4 Microsecond: 763331, ADC Sample: -646
XU4 Microsecond: 771188, ADC Sample: -675
XU4 Microsecond: 779043, ADC Sample: -551
XU4 Microsecond: 786900, ADC Sample: -515
XU4 Microsecond: 794755, ADC Sample: -536
XU4 Microsecond: 802610, ADC Sample: -390
XU4 Microsecond: 810464, ADC Sample: -509
XU4 Microsecond: 818317, ADC Sample: -379
XU4 Microsecond: 826175, ADC Sample: -459
XU4 Microsecond: 834037, ADC Sample: -197
XU4 Microsecond: 841885, ADC Sample: -377
XU4 Microsecond: 849746, ADC Sample: -183
XU4 Microsecond: 857605, ADC Sample: -305
XU4 Microsecond: 865455, ADC Sample: -173
XU4 Microsecond: 873307, ADC Sample: -223
XU4 Microsecond: 881160, ADC Sample: -92
XU4 Microsecond: 889018, ADC Sample: -143
XU4 Microsecond: 896873, ADC Sample: 10
XU4 Microsecond: 904731, ADC Sample: -62
XU4 Microsecond: 912584, ADC Sample: -16
XU4 Microsecond: 920437, ADC Sample: -66
XU4 Microsecond: 928296, ADC Sample: 20
XU4 Microsecond: 936153, ADC Sample: -30
XU4 Microsecond: 944007, ADC Sample: 75
XU4 Microsecond: 951862, ADC Sample: 137
XU4 Microsecond: 959717, ADC Sample: 134
XU4 Microsecond: 967572, ADC Sample: 64
XU4 Microsecond: 975428, ADC Sample: 240
XU4 Microsecond: 983282, ADC Sample: 193
XU4 Microsecond: 991139, ADC Sample: 325
XU4 Microsecond: 998996, ADC Sample: 161
XU4 Microsecond: 1006851, ADC Sample: 413
XU4 Microsecond: 1014716, ADC Sample: 328
XU4 Microsecond: 1022572, ADC Sample: 491
XU4 Microsecond: 1030426, ADC Sample: 317
XU4 Microsecond: 1038292, ADC Sample: 618
XU4 Microsecond: 1046138, ADC Sample: 497
XU4 Microsecond: 1053991, ADC Sample: 687
XU4 Microsecond: 1061853, ADC Sample: 564
XU4 Microsecond: 1069710, ADC Sample: 619
